name,price,rating,store,image
Ready Apple iPhone SE 2 2020 64gb 128gb 256gb white black red,Rp5.900.000,4.8,Big Berry Cellular,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/23/846113c2-4b85-486b-a5df-da5b32d25c56.jpg.webp?ect=4g
"iPhone 13 Mini 512GB 5G iBox 128GB 256GB Ibox - Not 12 Pro Max 256 128 - INTER 128GB, MIDNIGHT BLACK",Rp14.475.000,4.9,New Rizkyapple,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/15/ceef6f1e-da6d-41e3-8f56-c714fd71f0dc.jpg.webp?ect=4g
SAMSUNG GALAXY A11 NEW GARANSI RESMI SEIN 1TAHUN,Rp1.700.000,5.0,Bintang_cell222,https://images.tokopedia.net/img/cache/200-square/product-1/2020/6/21/3967478/3967478_ed2fff64-e11b-44a1-936f-660fa145b655_415_415.jpg.webp?ect=4g
REALME NARZO 50i 4/64GB GARANSI RESMI REALME INDONESIA,Rp1.599.000,not yet rated,GadgetIDN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/3/3b5cf286-761c-44e4-806b-b4f38425aba2.jpg.webp?ect=4g
SAMSUNG GALAXY M20 GARANSI RESMI 1 TAHUN,Rp2.150.000,4.7,langitcel,https://images.tokopedia.net/img/cache/200-square/product-1/2019/5/28/4009535/4009535_0bcfd267-7a69-407b-b8e4-a5f55da29f45_620_620.jpg.webp?ect=4g
Realme C11 Garansi Resmi,Rp1.238.000,4.9,Evogad Official,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/27/9d249ace-09dc-412d-acc8-5cf5484fa144.jpg.webp?ect=4g
Xiaomi Redmi 9A 2/32 RAM 3GB ROM 32GB Garansi Resmi Xiaomi Indonesia,Rp1.298.000,4.9,SFONE OMNI STORE,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/31/7a632a08-7d4d-4abe-9a5f-978d73954641.jpg.webp?ect=4g
Realme C11 2/32 RAM 2GB ROM 32GB GARANSI RESMI REALME,Rp1.221.000,4.9,enterphone2,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/25/7c94c5c2-3930-423c-a728-b80b66317a2e.jpg.webp?ect=4g
Iphone XR Garansi Resmi Ibox,Rp8.269.000,5.0,PT Pratama Sntra Semesta,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/2/d6dac822-9e50-4854-bf6b-222d3591f559.png.webp?ect=4g
IPhone 12 Pro Max Garansi Resmi Ibox,Rp19.399.000,5.0,PT Pratama Sntra Semesta,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/2/e0aacb21-90b6-4414-b276-0127bd241a27.png.webp?ect=4g
Xiaomi Redmi Note 10S 8/128 RAM 8GB ROM 128GB Garansi Resmi Xiaomi,Rp3.064.000,5.0,SFONE OMNI STORE,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/12/f177c211-ee2d-44e8-8391-207a325330fc.jpg.webp?ect=4g
Realme C21Y 4/64 RAM 4GB Internal 64GB Garansi Resmi Indonesia,Rp1.706.000,5.0,SFONE OMNI STORE,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/24/10812548-196d-43e5-8dfc-496708d59b8a.png.webp?ect=4g
Samsung Galaxy A72 8/128 8/256 Kamera 4K GB RAM 8 ROM 128 256 Resmi,Rp5.440.000,4.9,SUPER_GADGET,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/16/25d1e0fb-18fc-4989-b7ba-b4f4bc598be4.png.webp?ect=4g
SAMSUNG GALAXY A32 5G - NFC - 8GB 128GB 8/128 GARANSI RESMI,Rp3.849.900,5.0,Shopyz ID,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/7/6c8e3369-cb6a-4618-a30c-c876cb9ceec1.jpg.webp?ect=4g
Samsung A12 4/128 RAM 4GB Internal 128GB Garansi Resmi SEIN,Rp2.141.000,4.9,SFONE OMNI STORE,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/2/14ca8da9-523d-4784-a208-2b1c4bad42ba.jpg.webp?ect=4g
Xiaomi Redmi 9A 2/32 Garansi Resmi,Rp1.275.000,5.0,Hanan Store's,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/3/a70cac97-0685-4c66-8d57-904e6190ebea.jpg.webp?ect=4g
Advan G9 Pro 6/64 Gb Garansi resmi - Hijau,Rp1.315.000,not yet rated,RPM Mobile,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/590e8e93-d49a-49e4-90d0-dd92629888dc.jpg.webp?ect=4g
Vivo Y21s 4/128GB (Ram 4GB + 1GB Extended) Garansi Resmi,Rp2.445.000,5.0,duniagadgetku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/6/b23006b3-ea19-460e-8c07-8caf6bfc1cac.jpg.webp?ect=4g
"IBOX iPhone 13 Pro Max 5G 1TB 512GB 256GB 128GB ProMax - not 13 mini - 128 gb, Silver",Rp21.020.000,not yet rated,iStuffOriginal,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/3/66e27f0a-ed1c-4e42-bc83-afc29f048cee.jpg.webp?ect=4g
[GARANSI RESMI APPLE] Apple iPhone 12 64Gb,Rp12.399.000,5.0,Planet Gadget,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/1/06d539ac-c270-4f41-85e6-8b34dae530c7.jpg.webp?ect=4g
Samsung Galaxy M12 3GB/32GB,Rp1.699.000,4.9,Samsung Official Store,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/25/fb6e6429-bb51-4a6d-a254-63342362fa93.jpg.webp?ect=4g
Poco M3 4/64 GB - 6/128 GB Resmi,Rp1.885.000,5.0,duniagadgetku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/26/6b2602e3-2646-440f-b039-dad93ce6a4b0.jpg.webp?ect=4g
Samsung Galaxy A12 4/128 / 6/128 Garansi Resmi Sein By Tam,Rp2.158.000,4.9,murahmeriah shop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/7/f5c0e160-deb5-4281-b156-8144e4e59a00.jpg.webp?ect=4g
SAMSUNG GALAXY M32 - NFC - 5000mAh - 8GB 128GB 8/128 - Garansi Resmi,Rp3.399.900,5.0,Shopyz ID,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/29/96748ddc-68de-423e-b34b-78818ea0b715.jpg.webp?ect=4g
Samsung Galaxy A03s 4/64 GB Garansi Resmi SEIN,Rp1.746.000,4.9,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/9/f5a879d4-149d-4a45-a09d-78551a2e430b.jpg.webp?ect=4g
Xiaomi Poco X3 Pro 8/256 GB Garansi Resmi,Rp3.894.000,4.9,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/30/d63e6a87-b8c1-4a78-aae0-694780ef5659.jpg.webp?ect=4g
XIAOMI Mi POCO X3 Pro 6/128GB NFC Snapdragon™ 860 48MP 5160mAh,Rp3.399.000,4.9,Xiaomi Official Store,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/13/4a801301-4407-4907-80cb-cbf82355394c.png.webp?ect=4g
Samsung Galaxy A12 4/128 GB Garansi Resmi SEIN,Rp2.142.000,4.9,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/23/6baf216f-2cb1-464c-8f86-2f05ca28c3b4.jpg.webp?ect=4g
Samsung Galaxy A02 3/32 GB Garansi Resmi SEIN,Rp1.469.000,4.9,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/18/1bfa6f89-cf7e-4c54-9fd1-3e2713cbdb4c.jpg.webp?ect=4g
Samsung Galaxy A12 6/128 GB Garansi Resmi SEIN,Rp2.350.000,4.9,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/29/520f7c61-b341-42e1-a829-9cb4cc5b1677.jpg.webp?ect=4g
realme c21y 3/32 new grs resmi realme indo,Rp1.575.000,not yet rated,arena phone cell,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/3/bcb8b0ad-e98d-4c7b-b4f2-3c4f2cef7c15.jpg.webp?ect=4g
Vivo V21 4G - Garansi Resmi,Rp3.650.000,4.9,Ratucell88,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/23/86571b40-5248-4679-9367-c6361af4dfb2.jpg.webp?ect=4g
Samsung a22 new sein indonesia ram 6/128gb,Rp2.700.000,not yet rated,Ponsel nusantara,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/6/0706f632-c5a4-4a6a-973d-baa9e23acc71.jpg.webp?ect=4g
(RESMI) Samsung Galaxy S21 128GB 256GB 5G Garansi SEIN Indonesia,Rp10.740.000,5.0,Putra Group,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/19/85ae0cd5-3799-4f13-bd6f-270c74d4e9cd.jpg.webp?ect=4g
realme xt 8/128,Rp3.500.000,not yet rated,thalib's,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/3/96dd5f6f-b67a-4253-bb58-1f359986da30.jpg.webp?ect=4g
Xiaomi Poco X3 GT 8/128GG + 8/256GB Garansi Resmi,Rp4.199.000,4.9,duniagadgetku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/28/aca5bc26-b2ae-4018-bc91-3d022cfeefdb.jpg.webp?ect=4g
Xiaomi Redmi Note 10s 8/128 GB Garasni Resmi,Rp3.065.000,5.0,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/96d41d0f-83ac-48ca-9f2b-bd7fc2e4d4d6.jpg.webp?ect=4g
"Xiaomi Redmi 9A 2/32 ~ 3/32 GB Garansi Resmi , IMEI Terdaftar",Rp1.299.000,5.0,duniagadgetku,https://images.tokopedia.net/img/cache/200-square/product-1/2020/8/18/16633024/16633024_ac7359fa-8e71-4c62-9cbb-ee9b2ad3ed5e_625_625.webp?ect=4g
itel vision A26 (2/32) garansi resmi by infinix,Rp860.000,4.9,murahmeriah shop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/12/4e32b47d-1c08-4bab-9052-517c84ed3099.jpg.webp?ect=4g
Xiaomi Poco M3 Pro 5G 6/128 GB Garansi Resmi,Rp2.936.000,4.9,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/26/46a33af4-9efa-4f32-b694-02d7df878643.jpg.webp?ect=4g
Xiaomi Redmi Note 9 6/128 GB Garansi Resmi,Rp2.433.000,4.9,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/product-1/2020/6/18/2608727/2608727_a9cc5f8e-5233-4835-81ec-9221fd0c56a6_800_800.webp?ect=4g
